Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),Dy (Vertical Velocity) (px/sec),Dz (Speed),Dy (cm/sec),Mean Velocity (cm/sec),Dy,Dz
young,3,1,1,2,15,B,IV,9,130.667,130.912,3.74752956,,,
young,3,1,1,3,15,B,IV,3,93.333,93.941,2.67679044,,,
young,3,1,1,3,15,B,IV,6,81.334,81.345,2.33265912,,,
young,3,1,1,3,15,B,IV,9,73.333,73.333,2.10319044,,,
young,3,1,1,4,15,B,IV,3,128,128.007,3.67104,,,
young,3,1,1,4,15,B,IV,6,129.333,129.395,3.70927044,,,
young,3,1,1,4,15,B,IV,9,82.667,83.533,2.37088956,,,
young,3,1,1,5,15,B,II,3,76,76.942,2.17968,3.29501413,,
young,3,1,1,5,15,B,II,6,74.667,74.857,2.14144956,,,
young,3,1,1,5,15,B,II,9,116,116.764,3.32688,,,
young,3,1,1,6,15,B,II,3,166.666,166.671,4.77998088,,,
young,3,1,1,6,15,B,II,6,150.667,150.814,4.32112956,,,
young,3,1,1,6,15,B,II,9,125.333,125.786,3.59455044,,,
young,3,1,1,7,15,B,II,3,96,97.798,2.75328,,,
young,3,1,1,7,15,B,II,6,129.334,129.773,3.70929912,,,
young,3,1,1,7,15,B,II,9,90.666,91.145,2.60030088,,,
young,3,1,1,8,15,B,II,3,122.667,122.674,3.51808956,,,
young,3,1,1,8,15,B,II,6,152,152.286,4.35936,,,
young,3,1,1,8,15,B,II,9,78.667,78.712,2.25616956,,,
young,3,1,1,9,15,B,V,3,92,93.162,2.63856,3.70609413,,
young,3,1,1,9,15,B,V,6,160,160.006,4.5888,,,
young,3,1,1,9,15,B,V,9,153.334,153.386,4.39761912,,,
young,3,1,1,10,15,B,V,3,113.333,113.333,3.25039044,,,
young,3,1,1,10,15,B,V,6,150.667,150.879,4.32112956,,,
young,3,1,1,10,15,B,V,9,85.333,86.368,2.44735044,,,
young,3,1,1,11,15,B,V,3,146.667,146.818,4.20640956,,,
young,3,1,1,11,15,B,V,6,180,180.044,5.1624,,,
young,3,1,1,11,15,B,V,9,125.333,125.333,3.59455044,,,
young,3,1,1,12,15,B,V,3,156,156.091,4.47408,,,
young,3,1,1,12,15,B,V,6,112,112.032,3.21216,,,
young,3,1,1,12,15,B,V,9,76,76.942,2.17968,,,
young,3,1,1,13,15,C,IV,3,190.666,190.783,5.46830088,3.38742348,,
young,3,1,1,13,15,C,IV,6,130.667,130.694,3.74752956,,,
young,3,1,1,13,15,C,IV,9,13.333,19.821,0.38239044,,,
young,3,1,1,14,15,C,IV,3,88,88.04,2.52384,,,
young,3,1,1,14,15,C,IV,6,100,100.717,2.868,,,
young,3,1,1,14,15,C,IV,9,78.666,79.576,2.25614088,,,
young,3,1,1,15,15,C,IV,3,116,116.764,3.32688,,,
young,3,1,1,15,15,C,IV,6,136,136,3.90048,,,
young,3,1,1,15,15,C,IV,9,129.333,129.669,3.70927044,,,
young,3,1,1,16,15,C,IV,3,168,168.132,4.81824,,,
young,3,1,1,16,15,C,IV,6,125.334,125.511,3.59457912,,,
young,3,1,1,16,15,C,IV,9,141.333,141.49,4.05343044,,,
young,3,1,1,17,15,C,II,3,126.666,126.729,3.63278088,3.98014826,,
young,3,1,1,17,15,C,II,6,102.667,102.676,2.94448956,,,
young,3,1,1,17,15,C,II,9,66.667,68.883,1.91200956,,,
young,3,1,1,18,15,C,II,3,170.667,170.667,4.89472956,,,
young,3,1,1,18,15,C,II,6,124,124.115,3.55632,,,
young,3,1,1,18,15,C,II,9,110.667,111.467,3.17392956,,,
young,3,1,1,19,15,C,II,3,202.667,202.777,5.81248956,,,
young,3,1,1,19,15,C,II,6,160,160.555,4.5888,,,
young,3,1,1,19,15,C,II,9,140,140,4.0152,,,
young,3,1,1,20,15,C,II,3,176,176.045,5.04768,,,
young,3,1,1,20,15,C,II,6,144,144.099,4.12992,,,
young,3,1,1,20,15,C,II,9,141.333,141.39,4.05343044,,,
young,3,1,1,21,15,C,V,3,157.334,157.357,4.51233912,3.99289652,,
young,3,1,1,21,15,C,V,6,120,120.118,3.4416,,,
young,3,1,1,21,15,C,V,9,153.333,153.704,4.39759044,,,
young,3,1,1,22,15,C,V,3,142.666,143.17,4.09166088,,,
young,3,1,1,22,15,C,V,6,80,80.011,2.2944,,,
young,3,1,1,22,15,C,V,9,121.334,121.926,3.47985912,,,
young,3,1,1,23,15,C,V,3,160,160.022,4.5888,,,
young,3,1,1,23,15,C,V,6,145.334,145.725,4.16817912,,,
young,3,1,1,23,15,C,V,9,132,132.007,3.78576,,,
young,3,1,1,24,15,C,V,3,177.333,177.578,5.08591044,,,
young,3,1,1,24,15,C,V,6,148,149.012,4.24464,,,
young,3,1,1,24,15,C,V,9,133.334,134.826,3.82401912,,,
young,4,1,1,1,15,G,IV,3,196,196.29,5.62128,3.48621652,,
young,4,1,1,1,15,G,IV,6,81.334,81.868,2.33265912,,,
young,4,1,1,1,15,G,IV,9,101.333,101.552,2.90623044,,,
young,4,1,1,2,15,G,IV,3,149.334,149.429,4.28289912,,,
young,4,1,1,2,15,G,IV,6,116,116.008,3.32688,,,
young,4,1,1,2,15,G,IV,9,110.666,110.674,3.17390088,,,
young,4,1,1,3,15,G,IV,3,121.334,122.064,3.47985912,,,
young,4,1,1,3,15,G,IV,6,144,144.886,4.12992,,,
young,4,1,1,3,15,G,IV,9,140,140.006,4.0152,,,
young,4,1,1,4,15,G,IV,3,109.334,109.367,3.13569912,,,
young,4,1,1,4,15,G,IV,6,105.333,105.409,3.02095044,,,
young,4,1,1,4,15,G,IV,9,84,84.38,2.40912,,,
young,4,1,1,5,15,G,II,3,214.667,214.704,6.15664956,3.26314587,,
young,4,1,1,5,15,G,II,6,174.666,174.849,5.00942088,,,
young,4,1,1,5,15,G,II,9,165.334,165.382,4.74177912,,,
young,4,1,1,6,15,G,II,3,24,29.605,0.68832,,,
young,4,1,1,6,15,G,II,6,177.333,177.413,5.08591044,,,
young,4,1,1,6,15,G,II,9,140,140.634,4.0152,,,
young,4,1,1,7,15,G,II,3,14.667,15.606,0.42064956,,,
young,4,1,1,7,15,G,II,6,-8,13.334,-0.22944,,,
young,4,1,1,7,15,G,II,9,66.666,67.737,1.91198088,,,
young,4,1,1,8,15,G,II,3,82.667,83.735,2.37088956,,,
young,4,1,1,8,15,G,II,6,173.333,173.354,4.97119044,,,
young,4,1,1,8,15,G,II,9,140,140.057,4.0152,,,
young,4,1,1,9,15,G,V,3,202.667,203.298,5.81248956,4.52506826,,
young,4,1,1,9,15,G,V,6,121.333,121.362,3.47983044,,,
young,4,1,1,9,15,G,V,9,144,144.006,4.12992,,,
young,4,1,1,10,15,G,V,3,194.667,195.323,5.58304956,,,
young,4,1,1,10,15,G,V,6,157.333,157.384,4.51231044,,,
young,4,1,1,10,15,G,V,9,144,144.006,4.12992,,,
young,4,1,1,11,15,G,V,3,198.667,198.828,5.69776956,,,
young,4,1,1,11,15,G,V,6,144,144.154,4.12992,,,
young,4,1,1,11,15,G,V,9,128,128.028,3.67104,,,
young,4,1,1,12,15,G,V,3,157.334,157.34,4.51233912,,,
young,4,1,1,12,15,G,V,6,148,148.216,4.24464,,,
young,4,1,1,12,15,G,V,9,153.333,153.385,4.39759044,,,
young,4,1,1,13,15,I,IV,3,112,112.032,3.21216,3.05600935,,
young,4,1,1,13,15,I,IV,6,114.667,114.675,3.28864956,,,
young,4,1,1,13,15,I,IV,9,117.333,117.454,3.36511044,,,
young,4,1,1,14,15,I,IV,3,16,23.589,0.45888,,,
young,4,1,1,14,15,I,IV,6,150.666,150.878,4.32110088,,,
young,4,1,1,14,15,I,IV,9,104,104.307,2.98272,,,
young,4,1,1,15,15,I,IV,3,186.667,187.143,5.35360956,,,
young,4,1,1,15,15,I,IV,6,146.666,146.721,4.20638088,,,
young,4,1,1,15,15,I,IV,9,124,124,3.55632,,,
young,4,1,1,16,15,I,IV,3,32,32,0.91776,,,
young,4,1,1,16,15,I,IV,6,102.666,103.905,2.94446088,,,
young,4,1,1,16,15,I,IV,9,72,72,2.06496,,,
young,4,1,1,17,15,I,II,3,53.333,55.681,1.52959044,2.48878826,,
young,4,1,1,17,15,I,II,6,108,108.206,3.09744,,,
young,4,1,1,17,15,I,II,9,109.334,109.367,3.13569912,,,
young,4,1,1,18,15,I,II,3,60,60.369,1.7208,,,
young,4,1,1,18,15,I,II,6,134.667,134.693,3.86224956,,,
young,4,1,1,18,15,I,II,9,113.333,113.364,3.25039044,,,
young,4,1,1,19,15,I,II,3,128,128.34,3.67104,,,
young,4,1,1,19,15,I,II,6,-20,20.177,-0.5736,,,
young,4,1,1,19,15,I,II,9,120,120.03,3.4416,,,
young,4,1,1,20,15,I,II,3,93.334,93.42,2.67681912,,,
young,4,1,1,20,15,I,II,6,52,52.612,1.49136,,,
young,4,1,1,20,15,I,II,9,89.333,90.135,2.56207044,,,
young,4,1,1,21,15,I,V,3,178.666,178.666,5.12414088,3.77301174,,
young,4,1,1,21,15,I,V,6,170.667,171,4.89472956,,,
young,4,1,1,21,15,I,V,9,142.667,142.823,4.09168956,,,
young,4,1,1,22,15,I,V,3,153.333,153.426,4.39759044,,,
young,4,1,1,22,15,I,V,6,200,200.004,5.736,,,
young,4,1,1,22,15,I,V,9,45.334,45.354,1.30017912,,,
young,4,1,1,23,15,I,V,3,128,128.007,3.67104,,,
young,4,1,1,23,15,I,V,6,94.666,94.666,2.71502088,,,
young,4,1,1,23,15,I,V,9,100,100.009,2.868,,,
young,4,1,1,24,15,I,V,3,180,180.4,5.1624,,,
young,4,1,1,24,15,I,V,6,122.666,122.695,3.51806088,,,
young,4,1,1,24,15,I,V,9,62.667,68.638,1.79728956,,,
young,5,1,1,1,19,B,IV,3,62.667,63.176,1.79728956,2.38681652,,
young,5,1,1,1,19,B,IV,6,125.333,125.51,3.59455044,,,
young,5,1,1,1,19,B,IV,9,36,39.395,1.03248,,,
young,5,1,1,2,19,B,IV,3,18.667,20.309,0.53536956,,,
young,5,1,1,2,19,B,IV,6,77.333,77.746,2.21791044,,,
young,5,1,1,2,19,B,IV,9,54.667,55.072,1.56784956,,,
young,5,1,1,3,19,B,IV,3,105.334,105.637,3.02097912,,,
young,5,1,1,3,19,B,IV,6,116,116.008,3.32688,,,
young,5,1,1,3,19,B,IV,9,121.333,121.516,3.47983044,,,
young,5,1,1,4,19,B,IV,3,86.667,86.708,2.48560956,,,
young,5,1,1,4,19,B,IV,6,70.667,70.68,2.02672956,,,
young,5,1,1,4,19,B,IV,9,124,124.064,3.55632,,,
young,5,1,1,5,19,B,II,3,97.333,97.342,2.79151044,2.58757174,,
young,5,1,1,5,19,B,II,6,110.667,110.739,3.17392956,,,
young,5,1,1,5,19,B,II,9,56,56.143,1.60608,,,
young,5,1,1,6,19,B,II,3,52,54.029,1.49136,,,
young,5,1,1,6,19,B,II,6,118.666,118.673,3.40334088,,,
young,5,1,1,6,19,B,II,9,134.667,134.726,3.86224956,,,
young,5,1,1,7,19,B,II,3,116,117.712,3.32688,,,
young,5,1,1,7,19,B,II,6,133.333,133.393,3.82399044,,,
young,5,1,1,7,19,B,II,9,140,140.006,4.0152,,,
young,5,1,1,8,19,B,II,3,56,56.016,1.60608,,,
young,5,1,1,8,19,B,II,6,29.333,29.363,0.84127044,,,
young,5,1,1,8,19,B,II,9,38.667,38.759,1.10896956,,,
young,5,1,1,9,19,B,V,3,102.667,102.745,2.94448956,2.86800239,,
young,5,1,1,9,19,B,V,6,106.666,106.674,3.05918088,,,
young,5,1,1,9,19,B,V,9,70.667,72.762,2.02672956,,,
young,5,1,1,10,19,B,V,3,90.667,90.677,2.60032956,,,
young,5,1,1,10,19,B,V,6,149.333,149.387,4.28287044,,,
young,5,1,1,10,19,B,V,9,133.334,133.873,3.82401912,,,
young,5,1,1,11,19,B,V,3,129.333,129.34,3.70927044,,,
young,5,1,1,11,19,B,V,6,141.333,141.559,4.05343044,,,
young,5,1,1,11,19,B,V,9,30.667,30.667,0.87952956,,,
young,5,1,1,12,19,B,V,3,45.334,49.027,1.30017912,,,
young,5,1,1,12,19,B,V,6,110.666,110.674,3.17390088,,,
young,5,1,1,12,19,B,V,9,89.334,89.344,2.56209912,,,
